id,imdb_id,title
862,0114709,Toy Story
8844,0113497,Jumanji
15602,0113228,Grumpier Old Men
31357,0114885,Waiting to Exhale
11862,0113041,Father of the Bride Part II
949,0113277,Heat
11860,0114319,Sabrina
45325,0112302,Tom and Huck
9091,0114576,Sudden Death
710,0113189,GoldenEye
9087,0112346,The American President
12110,0112896,Dracula: Dead and Loving It
21032,0112453,Balto
10858,0113987,Nixon
1408,0112760,Cutthroat Island
524,0112641,Casino
4584,0114388,Sense and Sensibility
5,0113101,Four Rooms
9273,0112281,Ace Ventura: When Nature Calls
11517,0113845,Money Train
8012,0113161,Get Shorty
1710,0112722,Copycat
9691,0112401,Assassins
12665,0114168,Powder
451,0113627,Leaving Las Vegas
16420,0114057,Othello
9263,0114011,Now and Then
17015,0114117,Persuasion
902,0112682,The City of Lost Children
37557,0115012,Shanghai Triad
9909,0112792,Dangerous Minds
63,0114746,Twelve Monkeys
78802,0114952,Wings of Courage
9598,0112431,Babe
47018,0112637,Carrington
687,0112818,Dead Man Walking
139405,0112286,Across the Sea of Time
33689,0113442,It Takes Two
9603,0112697,Clueless
34615,0112749,"Cry, the Beloved Country"
31174,0114279,Richard III
11443,0112819,Dead Presidents
35196,0114272,Restoration
9312,0113855,Mortal Kombat
577,0114681,To Die For
11861,0113347,How To Make An American Quilt
807,0114369,Se7en
10530,0114148,Pocahontas
8391,0114916,When Night Is Falling
629,0114814,The Usual Suspects
117164,0109950,Guardian Angel
11448,0113819,Mighty Aphrodite
49133,0110299,Lamerica
26441,0112499,The Big Green
97406,0113158,Georgia
124057,0113541,Kids of the Round Table
9089,0113321,Home for the Holidays
11010,0110877,The Postman
99040,0112714,The Confessional
11359,0113419,The Indian in the Cupboard
17182,0116260,Eye for an Eye
2054,0113862,Mr. Holland's Opus
10607,0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,0118002,Two If by Sea
9536,0115683,Bio-Dome
11525,0116839,Lawnmower Man 2: Beyond Cyberspace
40628,0114753,Two Bits
4482,0113149,French Twist
10634,0113118,Friday
755,0116367,From Dusk Till Dawn
11859,0113010,Fair Game
28387,0113537,Kicking and Screaming
48750,0113828,Les Miserables
20927,0115644,Bed of Roses
36929,0115676,Big Bully
9102,0114367,Screamers
124626,0113973,Nico Icon
27526,0112744,The Crossing Guard
9623,0116731,The Juror
46785,0112445,The White Balloon
400,0114660,Things to Do in Denver When You're Dead
880,0112379,Antonia's Line
146599,0114039,Once Upon a Time... When We Were Colored
188588,0113612,Last Summer in the Hamptons
8447,0112365,Angels and Insects
10534,0118158,White Squall
17414,0116151,Dunston Checks In
13997,0115697,Black Sheep
2086,0113972,Nick of Time
61548,0113490,The Journey of August King
9095,0117002,Mary Reilly
12158,0114825,Vampire in Brooklyn
9283,0115639,Beautiful Girls
9208,0115759,Broken Arrow
40154,0113403,A Midwinter's Tale
406,0113247,La Haine
45549,0111173,Shopping
63076,0113283,Heidi Fleiss: Hollywood Madam
11062,0115907,City Hall
13685,0115734,Bottle Rocket
47475,0117102,Mr. Wrong
2045,0118040,Unforgettable
9614,0116483,Happy Gilmore
688,0112579,The Bridges of Madison County
11907,0110251,Nobody Loves Me
10874,0117110,Muppet Treasure Island
89333,0112646,Catwalk
96357,0113276,Headless Body in Topless Bar
197,0112573,Braveheart
103,0075314,Taxi Driver
33542,0113326,Rumble in the Bronx
43566,0115645,Before and After
71754,0113774,Margaret's Museum
43612,0112556,Happiness Is in the Field
51352,0112373,Anne Frank Remembered
16934,0115033,The Young Poisoner's Handbook
10324,0116606,If Lucy Fell
78406,0114536,Steal Big Steal Little
55731,0117427,Race the Sun
32119,0106473,The Boys of St. Vincent
11066,0103859,Boomerang
11104,0109424,Chungking Express
37975,0114808,The Star Maker
2074,0116324,Flirting with Disaster
27793,0110647,The Neverending Story III: Escape from Fantasia
44284,0111055,The Silences of the Palace
290157,0110217,Jupiter's Wife
110972,0114131,Pie in the Sky
32622,0112364,Angela
73067,0113107,Frankie Starlight
11863,0113451,Jade
55475,0114015,Nueba Yol
124636,0114500,Sonic Outlaws
9101,0116130,Down Periscope
123360,0113125,From the Journals of Jean Seberg
5757,0113756,Man of the Year
39428,0113952,The Neon Bible
124639,0114618,Target
9302,0118055,Up Close & Personal
11000,0115685,The Birdcage
249882,0113200,Virgin Mary
16388,0112585,The Brothers McMullen
9737,0112442,Bad Boys
30765,0112342,The Amazing Panda Adventure
10474,0112461,The Basketball Diaries
22279,0112427,An Awfully Big Adventure
30157,0109093,Amateur
568,0112384,Apollo 13
11780,0114287,Rob Roy
34996,0112288,The Addiction
414,0112462,Batman Forever
649,0061395,Belle de Jour
1873,0112495,Beyond Rangoon
5894,0112541,Blue in the Face
1775,0109370,Canadian Bacon
8839,0112642,Casper
20649,0112688,Clockers
10329,0112715,Congo
8963,0112740,Crimson Tide
26564,0109508,Crumb
8068,0112851,Desperado
8512,0112857,Devil in a Blue Dress
1572,0112864,Die Hard: With a Vengeance
13552,0112887,The Doom Generation
259209,0113044,Feast of July
6520,0113071,First Knight
9073,0113114,Free Willy 2 - The Adventure Home
10428,0113243,Hackers
17447,0113464,Jeffrey
9886,0113481,Johnny Mnemonic
9482,0113492,Judge Dredd
19326,0113500,Jury Duty
9344,0113540,Kids
9071,0113677,Living in Oblivion
8973,0113690,Lord of Illusions
15730,0107447,Love & Human Remains
47608,0113729,Mad Love
2293,0113749,Mallrats
9070,0113820,Mighty Morphin Power Rangers: The Movie
68274,0113851,Moonlight and Valentino
48787,0110604,Mute Witness
34574,0110620,Nadja
1642,0113957,The Net
11472,0113986,Nine Months
36196,0114095,Party Girl
11980,0114194,The Prophecy
58372,0114241,Reckless
32646,0114323,Safe
10533,0114345,The Scarlet Letter
56088,0114435,The Show
10802,0114436,Showgirls
10149,0114478,Smoke
18402,0114496,Something to Talk About
9348,0114508,Species
139408,0114534,The Stars Fell on Henrietta
281,0114558,Strange Days
5967,0058450,The Umbrellas of Cherbourg
79593,0114666,The Tie That Binds
47939,0114663,Three Wishes
36834,0114702,Total Eclipse
9090,0114682,"To Wong Foo, Thanks for Everything! Julie Newmar"
3512,0114781,Under Siege 2: Dark Territory
52856,0114798,Unstrung Heroes
77350,0114805,Unzipped
9560,0114887,A Walk in the Clouds
9804,0114898,Waterworld
31611,0114928,White Man's Burden
65796,0114938,Wild Bill
49805,0109340,The Browning Version
26258,0112602,Bushwhacked
50797,0111579,Burnt by the Sun
19155,0110882,Before the Rain
76,0112471,Before Sunrise
11017,0112508,Billy Madison
37141,0112438,The Babysitter
9382,0112571,Boys on the Side
6715,0112757,The Cure
18256,0112643,Castle Freak
22625,0112679,Circle of Friends
2292,0109445,Clerks
1909,0112883,Don Juan DeMarco
8984,0109635,Disclosure
61813,0112899,Dream Man
4954,0109676,Drop Zone
62488,0112854,Destiny Turns on the Radio
10531,0109579,Death and the Maiden
11929,0109642,Dolores Claiborne
8467,0109686,Dumb and Dumber
10451,0111797,Eat Drink Man Woman
20156,0109759,Exotica
18395,0109758,Exit to Eden
522,0109707,Ed Wood
397,0113117,French Kiss
10525,0113097,Forget Paris
27985,0113028,Far from Home: The Adventures of Yellow Dog
15789,0113198,A Goofy Movie
27303,0113303,Hideaway
21183,0113089,Fluke
10954,0109771,Farinelli
47867,0113199,Gordy
43475,0113234,Gumby: The Movie
72031,0109906,The Glass Shield
14275,0110057,Hoop Dreams
1024,0110005,Heavenly Creatures
17207,0110066,Houseguest
13701,0110116,Immortal Beloved
